"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Full context"
" ";"В";"";"В";" ";"начале 1806-го года Николай Ростов";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"В начале 1806-го года Николай Ростов вернулся в отпуск."
" В ";"елачан";"В";"начале";" ";"1806-го года Николай Ростов вернулся";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"В начале 1806-го года Николай Ростов вернулся в отпуск."
" елачан В ";"6081";"В начале";"1806";"-";"го года Николай Ростов вернулся в";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"В начале 1806-го года Николай Ростов вернулся в отпуск."
"-6081 елачан В ";"ог";"В начале 1806-";"го";" ";"года Николай Ростов вернулся в отпуск.";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"В начале 1806-го года Николай Ростов вернулся в отпуск."
" ог-6081 елачан В ";"адог";"В начале 1806-го";"года";" ";"Николай Ростов вернулся в отпуск.";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"В начале 1806-го года Николай Ростов вернулся в отпуск."
" адог ог-6081 елачан В ";"йалокиН";"В начале 1806-го года";"Николай";" ";"Ростов вернулся в отпуск.";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"В начале 1806-го года Николай Ростов вернулся в отпуск."
" йалокиН адог ог-6081 елачан В";"вотсоР";"В начале 1806-го года Николай";"Ростов";" ";"вернулся в отпуск.";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"В начале 1806-го года Николай Ростов вернулся в отпуск."
" вотсоР йалокиН адог ог-6081 елачан";"яслунрев";"начале 1806-го года Николай Ростов";"вернулся";" ";"в отпуск.";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"В начале 1806-го года Николай Ростов вернулся в отпуск."
" яслунрев вотсоР йалокиН адог ог-6081";"в";"1806-го года Николай Ростов вернулся";"в";" ";"отпуск.";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"В начале 1806-го года Николай Ростов вернулся в отпуск."
" в яслунрев вотсоР йалокиН адог ог";"ксупто";"го года Николай Ростов вернулся в";"отпуск";". ";"";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"В начале 1806-го года Николай Ростов вернулся в отпуск."
" ";"восинеД";"";"Денисов";" ";"ехал тоже домой в Воронеж, и";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"Денисов ехал тоже домой в Воронеж, и Ростов уговорил его ехать с собой до Москвы и остановиться у них в доме."
" восинеД ";"лахе";"Денисов";"ехал";" ";"тоже домой в Воронеж, и Ростов";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"Денисов ехал тоже домой в Воронеж, и Ростов уговорил его ехать с собой до Москвы и остановиться у них в доме."
" лахе восинеД ";"ежот";"Денисов ехал";"тоже";" ";"домой в Воронеж, и Ростов уговорил";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"Денисов ехал тоже домой в Воронеж, и Ростов уговорил его ехать с собой до Москвы и остановиться у них в доме."
" ежот лахе восинеД ";"йомод";"Денисов ехал тоже";"домой";" ";"в Воронеж, и Ростов уговорил его";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"Денисов ехал тоже домой в Воронеж, и Ростов уговорил его ехать с собой до Москвы и остановиться у них в доме."
" йомод ежот лахе восинеД ";"в";"Денисов ехал тоже домой";"в";" ";"Воронеж, и Ростов уговорил его ехать";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"Денисов ехал тоже домой в Воронеж, и Ростов уговорил его ехать с собой до Москвы и остановиться у них в доме."
" в йомод ежот лахе восинеД ";"женороВ";"Денисов ехал тоже домой в";"Воронеж";", ";"и Ростов уговорил его ехать с";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"Денисов ехал тоже домой в Воронеж, и Ростов уговорил его ехать с собой до Москвы и остановиться у них в доме."
" ,женороВ в йомод ежот лахе восинеД";"и";"Денисов ехал тоже домой в Воронеж,";"и";" ";"Ростов уговорил его ехать с собой";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"Денисов ехал тоже домой в Воронеж, и Ростов уговорил его ехать с собой до Москвы и остановиться у них в доме."
" и ,женороВ в йомод ежот лахе";"вотсоР";"ехал тоже домой в Воронеж, и";"Ростов";" ";"уговорил его ехать с собой до";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"Денисов ехал тоже домой в Воронеж, и Ростов уговорил его ехать с собой до Москвы и остановиться у них в доме."
" вотсоР и ,женороВ в йомод ежот";"лировогу";"тоже домой в Воронеж, и Ростов";"уговорил";" ";"его ехать с собой до Москвы";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"Денисов ехал тоже домой в Воронеж, и Ростов уговорил его ехать с собой до Москвы и остановиться у них в доме."
" лировогу вотсоР и ,женороВ в йомод";"оге";"домой в Воронеж, и Ростов уговорил";"его";" ";"ехать с собой до Москвы и";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"Денисов ехал тоже домой в Воронеж, и Ростов уговорил его ехать с собой до Москвы и остановиться у них в доме."
" оге лировогу вотсоР и ,женороВ в";"ьтахе";"в Воронеж, и Ростов уговорил его";"ехать";" ";"с собой до Москвы и остановиться";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"Денисов ехал тоже домой в Воронеж, и Ростов уговорил его ехать с собой до Москвы и остановиться у них в доме."
" ьтахе оге лировогу вотсоР и ,женороВ";"с";"Воронеж, и Ростов уговорил его ехать";"с";" ";"собой до Москвы и остановиться у";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"Денисов ехал тоже домой в Воронеж, и Ростов уговорил его ехать с собой до Москвы и остановиться у них в доме."
" с ьтахе оге лировогу вотсоР и";"йобос";"и Ростов уговорил его ехать с";"собой";" ";"до Москвы и остановиться у них";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"Денисов ехал тоже домой в Воронеж, и Ростов уговорил его ехать с собой до Москвы и остановиться у них в доме."
" йобос с ьтахе оге лировогу вотсоР";"од";"Ростов уговорил его ехать с собой";"до";" ";"Москвы и остановиться у них в";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"Денисов ехал тоже домой в Воронеж, и Ростов уговорил его ехать с собой до Москвы и остановиться у них в доме."
" од йобос с ьтахе оге лировогу";"ывксоМ";"уговорил его ехать с собой до";"Москвы";" ";"и остановиться у них в доме.";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"Денисов ехал тоже домой в Воронеж, и Ростов уговорил его ехать с собой до Москвы и остановиться у них в доме."
" ывксоМ од йобос с ьтахе оге";"и";"его ехать с собой до Москвы";"и";" ";"остановиться у них в доме.";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"Денисов ехал тоже домой в Воронеж, и Ростов уговорил его ехать с собой до Москвы и остановиться у них в доме."
" и ывксоМ од йобос с ьтахе";"ясьтивонатсо";"ехать с собой до Москвы и";"остановиться";" ";"у них в доме.";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"Денисов ехал тоже домой в Воронеж, и Ростов уговорил его ехать с собой до Москвы и остановиться у них в доме."
" ясьтивонатсо и ывксоМ од йобос с";"у";"с собой до Москвы и остановиться";"у";" ";"них в доме.";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"Денисов ехал тоже домой в Воронеж, и Ростов уговорил его ехать с собой до Москвы и остановиться у них в доме."
" у ясьтивонатсо и ывксоМ од йобос";"хин";"собой до Москвы и остановиться у";"них";" ";"в доме.";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"Денисов ехал тоже домой в Воронеж, и Ростов уговорил его ехать с собой до Москвы и остановиться у них в доме."
" хин у ясьтивонатсо и ывксоМ од";"в";"до Москвы и остановиться у них";"в";" ";"доме.";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"Денисов ехал тоже домой в Воронеж, и Ростов уговорил его ехать с собой до Москвы и остановиться у них в доме."
" в хин у ясьтивонатсо и ывксоМ";"емод";"Москвы и остановиться у них в";"доме";". ";"";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"Денисов ехал тоже домой в Воронеж, и Ростов уговорил его ехать с собой до Москвы и остановиться у них в доме."
" ";"аН";"";"На";" ";"предпоследней станции, встретив товарища, Денисов выпил";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"На предпоследней станции, встретив товарища, Денисов выпил с ним три бутылки вина и подъезжая к Москве, несмотря на ухабы дороги, не просыпался, лежа на дне перекладных саней, подле Ростова, который, по мере приближения к Москве, приходил всё более и более в нетерпение."
" аН ";"йенделсопдерп";"На";"предпоследней";" ";"станции, встретив товарища, Денисов выпил с";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"На предпоследней станции, встретив товарища, Денисов выпил с ним три бутылки вина и подъезжая к Москве, несмотря на ухабы дороги, не просыпался, лежа на дне перекладных саней, подле Ростова, который, по мере приближения к Москве, приходил всё более и более в нетерпение."
" йенделсопдерп аН ";"иицнатс";"На предпоследней";"станции";", ";"встретив товарища, Денисов выпил с ним";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"На предпоследней станции, встретив товарища, Денисов выпил с ним три бутылки вина и подъезжая к Москве, несмотря на ухабы дороги, не просыпался, лежа на дне перекладных саней, подле Ростова, который, по мере приближения к Москве, приходил всё более и более в нетерпение."
" ,иицнатс йенделсопдерп аН ";"витертсв";"На предпоследней станции,";"встретив";" ";"товарища, Денисов выпил с ним три";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"На предпоследней станции, встретив товарища, Денисов выпил с ним три бутылки вина и подъезжая к Москве, несмотря на ухабы дороги, не просыпался, лежа на дне перекладных саней, подле Ростова, который, по мере приближения к Москве, приходил всё более и более в нетерпение."
" витертсв ,иицнатс йенделсопдерп аН ";"ащиравот";"На предпоследней станции, встретив";"товарища";", ";"Денисов выпил с ним три бутылки";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"На предпоследней станции, встретив товарища, Денисов выпил с ним три бутылки вина и подъезжая к Москве, несмотря на ухабы дороги, не просыпался, лежа на дне перекладных саней, подле Ростова, который, по мере приближения к Москве, приходил всё более и более в нетерпение."
" ,ащиравот витертсв ,иицнатс йенделсопдерп аН ";"восинеД";"На предпоследней станции, встретив товарища,";"Денисов";" ";"выпил с ним три бутылки вина";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"На предпоследней станции, встретив товарища, Денисов выпил с ним три бутылки вина и подъезжая к Москве, несмотря на ухабы дороги, не просыпался, лежа на дне перекладных саней, подле Ростова, который, по мере приближения к Москве, приходил всё более и более в нетерпение."
" восинеД ,ащиравот витертсв ,иицнатс йенделсопдерп аН";"липыв";"На предпоследней станции, встретив товарища, Денисов";"выпил";" ";"с ним три бутылки вина и";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"На предпоследней станции, встретив товарища, Денисов выпил с ним три бутылки вина и подъезжая к Москве, несмотря на ухабы дороги, не просыпался, лежа на дне перекладных саней, подле Ростова, который, по мере приближения к Москве, приходил всё более и более в нетерпение."
" липыв восинеД ,ащиравот витертсв ,иицнатс йенделсопдерп";"с";"предпоследней станции, встретив товарища, Денисов выпил";"с";" ";"ним три бутылки вина и подъезжая";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"На предпоследней станции, встретив товарища, Денисов выпил с ним три бутылки вина и подъезжая к Москве, несмотря на ухабы дороги, не просыпался, лежа на дне перекладных саней, подле Ростова, который, по мере приближения к Москве, приходил всё более и более в нетерпение."
" с липыв восинеД ,ащиравот витертсв ,иицнатс";"мин";"станции, встретив товарища, Денисов выпил с";"ним";" ";"три бутылки вина и подъезжая к";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"На предпоследней станции, встретив товарища, Денисов выпил с ним три бутылки вина и подъезжая к Москве, несмотря на ухабы дороги, не просыпался, лежа на дне перекладных саней, подле Ростова, который, по мере приближения к Москве, приходил всё более и более в нетерпение."
" мин с липыв восинеД ,ащиравот витертсв";"ирт";"встретив товарища, Денисов выпил с ним";"три";" ";"бутылки вина и подъезжая к Москве";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"На предпоследней станции, встретив товарища, Денисов выпил с ним три бутылки вина и подъезжая к Москве, несмотря на ухабы дороги, не просыпался, лежа на дне перекладных саней, подле Ростова, который, по мере приближения к Москве, приходил всё более и более в нетерпение."
" ирт мин с липыв восинеД ,ащиравот";"иклытуб";"товарища, Денисов выпил с ним три";"бутылки";" ";"вина и подъезжая к Москве, несмотря";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"На предпоследней станции, встретив товарища, Денисов выпил с ним три бутылки вина и подъезжая к Москве, несмотря на ухабы дороги, не просыпался, лежа на дне перекладных саней, подле Ростова, который, по мере приближения к Москве, приходил всё более и более в нетерпение."
" иклытуб ирт мин с липыв восинеД";"анив";"Денисов выпил с ним три бутылки";"вина";" ";"и подъезжая к Москве, несмотря на";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"На предпоследней станции, встретив товарища, Денисов выпил с ним три бутылки вина и подъезжая к Москве, несмотря на ухабы дороги, не просыпался, лежа на дне перекладных саней, подле Ростова, который, по мере приближения к Москве, приходил всё более и более в нетерпение."
" анив иклытуб ирт мин с липыв";"и";"выпил с ним три бутылки вина";"и";" ";"подъезжая к Москве, несмотря на ухабы";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"На предпоследней станции, встретив товарища, Денисов выпил с ним три бутылки вина и подъезжая к Москве, несмотря на ухабы дороги, не просыпался, лежа на дне перекладных саней, подле Ростова, который, по мере приближения к Москве, приходил всё более и более в нетерпение."
" и анив иклытуб ирт мин с";"яажзеъдоп";"с ним три бутылки вина и";"подъезжая";" ";"к Москве, несмотря на ухабы дороги";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"На предпоследней станции, встретив товарища, Денисов выпил с ним три бутылки вина и подъезжая к Москве, несмотря на ухабы дороги, не просыпался, лежа на дне перекладных саней, подле Ростова, который, по мере приближения к Москве, приходил всё более и более в нетерпение."
" яажзеъдоп и анив иклытуб ирт мин";"к";"ним три бутылки вина и подъезжая";"к";" ";"Москве, несмотря на ухабы дороги, не";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"На предпоследней станции, встретив товарища, Денисов выпил с ним три бутылки вина и подъезжая к Москве, несмотря на ухабы дороги, не просыпался, лежа на дне перекладных саней, подле Ростова, который, по мере приближения к Москве, приходил всё более и более в нетерпение."
" к яажзеъдоп и анив иклытуб ирт";"евксоМ";"три бутылки вина и подъезжая к";"Москве";", ";"несмотря на ухабы дороги, не просыпался";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"На предпоследней станции, встретив товарища, Денисов выпил с ним три бутылки вина и подъезжая к Москве, несмотря на ухабы дороги, не просыпался, лежа на дне перекладных саней, подле Ростова, который, по мере приближения к Москве, приходил всё более и более в нетерпение."
" ,евксоМ к яажзеъдоп и анив иклытуб";"яртомсен";"бутылки вина и подъезжая к Москве,";"несмотря";" ";"на ухабы дороги, не просыпался, лежа";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"На предпоследней станции, встретив товарища, Денисов выпил с ним три бутылки вина и подъезжая к Москве, несмотря на ухабы дороги, не просыпался, лежа на дне перекладных саней, подле Ростова, который, по мере приближения к Москве, приходил всё более и более в нетерпение."
" яртомсен ,евксоМ к яажзеъдоп и анив";"ан";"вина и подъезжая к Москве, несмотря";"на";" ";"ухабы дороги, не просыпался, лежа на";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"На предпоследней станции, встретив товарища, Денисов выпил с ним три бутылки вина и подъезжая к Москве, несмотря на ухабы дороги, не просыпался, лежа на дне перекладных саней, подле Ростова, который, по мере приближения к Москве, приходил всё более и более в нетерпение."
" ан яртомсен ,евксоМ к яажзеъдоп и";"ыбаху";"и подъезжая к Москве, несмотря на";"ухабы";" ";"дороги, не просыпался, лежа на дне";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"На предпоследней станции, встретив товарища, Денисов выпил с ним три бутылки вина и подъезжая к Москве, несмотря на ухабы дороги, не просыпался, лежа на дне перекладных саней, подле Ростова, который, по мере приближения к Москве, приходил всё более и более в нетерпение."
" ыбаху ан яртомсен ,евксоМ к яажзеъдоп";"игород";"подъезжая к Москве, несмотря на ухабы";"дороги";", ";"не просыпался, лежа на дне перекладных";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"На предпоследней станции, встретив товарища, Денисов выпил с ним три бутылки вина и подъезжая к Москве, несмотря на ухабы дороги, не просыпался, лежа на дне перекладных саней, подле Ростова, который, по мере приближения к Москве, приходил всё более и более в нетерпение."
" ,игород ыбаху ан яртомсен ,евксоМ к";"ен";"к Москве, несмотря на ухабы дороги,";"не";" ";"просыпался, лежа на дне перекладных саней";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"На предпоследней станции, встретив товарища, Денисов выпил с ним три бутылки вина и подъезжая к Москве, несмотря на ухабы дороги, не просыпался, лежа на дне перекладных саней, подле Ростова, который, по мере приближения к Москве, приходил всё более и более в нетерпение."
" ен ,игород ыбаху ан яртомсен ,евксоМ";"яслапысорп";"Москве, несмотря на ухабы дороги, не";"просыпался";", ";"лежа на дне перекладных саней, подле";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"На предпоследней станции, встретив товарища, Денисов выпил с ним три бутылки вина и подъезжая к Москве, несмотря на ухабы дороги, не просыпался, лежа на дне перекладных саней, подле Ростова, который, по мере приближения к Москве, приходил всё более и более в нетерпение."
" ,яслапысорп ен ,игород ыбаху ан яртомсен";"ажел";"несмотря на ухабы дороги, не просыпался,";"лежа";" ";"на дне перекладных саней, подле Ростова";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"На предпоследней станции, встретив товарища, Денисов выпил с ним три бутылки вина и подъезжая к Москве, несмотря на ухабы дороги, не просыпался, лежа на дне перекладных саней, подле Ростова, который, по мере приближения к Москве, приходил всё более и более в нетерпение."
" ажел ,яслапысорп ен ,игород ыбаху ан";"ан";"на ухабы дороги, не просыпался, лежа";"на";" ";"дне перекладных саней, подле Ростова, который";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"На предпоследней станции, встретив товарища, Денисов выпил с ним три бутылки вина и подъезжая к Москве, несмотря на ухабы дороги, не просыпался, лежа на дне перекладных саней, подле Ростова, который, по мере приближения к Москве, приходил всё более и более в нетерпение."
" ан ажел ,яслапысорп ен ,игород ыбаху";"енд";"ухабы дороги, не просыпался, лежа на";"дне";" ";"перекладных саней, подле Ростова, который, по";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"На предпоследней станции, встретив товарища, Денисов выпил с ним три бутылки вина и подъезжая к Москве, несмотря на ухабы дороги, не просыпался, лежа на дне перекладных саней, подле Ростова, который, по мере приближения к Москве, приходил всё более и более в нетерпение."
" енд ан ажел ,яслапысорп ен ,игород";"хындалкереп";"дороги, не просыпался, лежа на дне";"перекладных";" ";"саней, подле Ростова, который, по мере";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"На предпоследней станции, встретив товарища, Денисов выпил с ним три бутылки вина и подъезжая к Москве, несмотря на ухабы дороги, не просыпался, лежа на дне перекладных саней, подле Ростова, который, по мере приближения к Москве, приходил всё более и более в нетерпение."
